Product ID,Product Category,Product Subcategory,Product Name,Product Description,Product Price,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
1047,Mountain Bikes,Electric,E-Mountain 1000,Electric mountain bike,3000,40,M,2047,3047,17/03/2023,Shipped,2,6000,PayPal
1048,Mountain Bikes,Electric,E-Mountain 2000,High-performance electric mountain bike,3500,38,L,2048,3048,18/03/2023,Processing,1,3500,Credit Card
1061,E-Bikes,City,UrbanEco 1000,Eco-friendly electric city bike,2000,35,s,2061,3061,1/03/2023,Shipped,2,4000,Credit Card
1062,E-Bikes,City,UrbanEco 2000,High-performance electric city bike,2500,33,L,2062,3062,2/03/2023,Processing,1,2500,PayPal
1063,ROAD BIKES,Gravel,GravelMaster 1000,All-terrain gravel bike,1700,22,M,2063,3063,3/03/2023,Cancelled,3,5100,Credit Card
1064,Road Bikes,Gravel,GravelMaster 2000,High-performance gravel bike,2100,20,L,2064,3064,4/03/2023,Shipped,1,2100,Credit Card
1065,Touring Bikes,Folding,FoldAway 1000,Compact folding touring bike,1500,30,M,2065,3065,5/03/2023,Processing,2,3000,PayPal
1066,Touring Bikes,Folding,FoldAway 2000,Advanced folding touring bike,1800,28,L,2066,3066,6/03/2023,Shipped,1,1800,Credit Card
1067,E-Bikes,Mountain,E-TrailBlazer 1000,Electric mountain bike,3200,42,M,2067,3067,7/03/2023,Shipped,2,6400,PayPal
1068,E-Bikes,Mountain,E-TrailBlazer 2000,High-performance electric mountain bike,3700,40,L,2068,3068,8/03/2023,Processing,1,3700,Credit Card
1081,Hybrid Bikes,Commuter,CommutePro 1000,Efficient commuter hybrid bike,1200,27,M,2081,3081,19/02/2023,Shipped,2,2400,Credit Card
1082,Hybrid Bikes,Commuter,CommutePro 2000,High-performance commuter hybrid bike,1500,25,L,2082,3082,20/02/2023,Processing,1,1500,PayPal
1083,Road Bikes,Aero,AeroSpeed 1000,Aerodynamic road bike,2800,18,M,2083,3083,21/02/2023,Cancelled,3,8400,Credit Card
1084,Road Bikes,Aero,AeroSpeed 2000,Advanced aerodynamic road bike,3200,16,L,2084,3084,22/02/2023,Shipped,1,3200,Credit Card
1085,Touring Bikes,Recumbent,ReclineRider 1000,Comfortable recumbent touring bike,2000,33,M,2085,3085,23/02/2023,Processing,2,4000,PayPal
1086,Touring Bikes,Recumbent,ReclineRider 2000,High-performance recumbent touring bike,2400,30,L,2086,3086,24/02/2023,Shipped,1,2400,Credit Card
1087,Mountain Bikes,Downhill,DownhillDominator 1000,Downhill mountain bike,2900,34,M,2087,3087,25/02/2023,Shipped,2,5800,PayPal
1088,Mountain Bikes,Downhill,DownhillDominator 2000,High-performance downhill mountain bike,3300,32,L,2088,3088,26/02/2023,Processing,1,3300,PayPal
1101,Kids Bikes,Balance,LittleBalancer 1000,Starter balance bike for kids,150,10,M,2101,3101,1/02/2023,Shipped,2,300,Credit Card
1102,Kids Bikes,Balance,LittleBalancer 2000,Upgraded balance bike for kids,200,9,L,2102,3102,2/02/2023,Processing,1,200,PayPal
1103,BMX Bikes,Freestyle,FreestyleMaster 1000,Beginner freestyle BMX bike,400,25,M,2103,3103,3/02/2023,Cancelled,3,1200,Credit Card
1104,BMX Bikes,Freestyle,FreestyleMaster 2000,Advanced freestyle BMX bike,600,23,L,2104,3104,4/02/2023,Shipped,1,600,Credit Card
1105,Mountain Bikes,Cross Country,XC-Rider 1000,Cross country mountain bike,1800,29,M,2105,3105,5/02/2023,Processing,2,3600,PayPal
1106,Mountain Bikes,Cross Country,XC-Rider 2000,High-performance cross country bike,2400,27,L,2106,3106,6/02/2023,Shipped,1,2400,Credit Card
1107,ROAD BIKES,Endurance,EnduranceElite 1000,Endurance road bike,2100,20,M,2107,3107,7/02/2023,Shipped,2,4200,PayPal
1108,Road Bikes,Endurance,EnduranceElite 2000,High-performance endurance road bike,2600,18,L,2108,3108,8/02/2023,Processing,1,2600,Credit Card
