event_id,site_id,date_time,event_type,severity,is_lti,near_miss_flag,contributing_factor
SAFE00047,WA001,2024-12-05 08:00:00,incident - minor injury,Low,false,false,Procedure not followed
SAFE00048,QLD001,2024-05-16 12:00:00,SAFETY INSPECTION,LOW,false,false,Procedure not followed
SAFE00049,NSW001,2024-04-30 22:00:00,fall from height,Low,false,false,Communication breakdown
SAFE00050,WA001,2024-03-07 07:00:00,Incident - First Aid,Medium,false,false,Operator error
SAFE00051,QLD001,2024-12-06 13:00:00,Incident - Minor Injury,LOW,false,false,Communication breakdown
SAFE00052,QLD001,2024-10-10 14:00:00,Near Miss,High,false,true,Operator error
SAFE00053,QLD001,2024-11-17 03:00:00,Near Miss,LOW,false,true,Equipment malfunction
SAFE00054,QLD001,2024-07-24 09:00:00,safety inspection,High,false,false,Equipment malfunction
SAFE00055,WA001,2024-10-23 22:00:00,Equipment Collision,Low,false,false,Environmental conditions
SAFE00056,NSW001,2024-07-21 08:00:00,Incident - First Aid,HIGH,false,false,Operator error
SAFE00057,QLD001,2024-06-03 02:00:00,Incident - Minor Injury,low,false,false,Equipment malfunction
SAFE00058,NSW001,2024-03-19 12:00:00,incident - first aid,Medium,false,false,Communication breakdown
SAFE00059,WA001,2024-07-04 17:00:00,HAZARD REPORTED,High,false,false,Equipment malfunction
SAFE00060,NSW001,2024-10-24 14:00:00,Hazard Reported,low,false,false,Operator error
SAFE00061,NSW001,2024-02-27 00:00:00,equipment collision,Medium,false,false,Equipment malfunction
SAFE00062,WA001,2024-11-17 06:00:00,INCIDENT - MINOR INJURY,high,false,false,Procedure not followed
SAFE00063,WA001,2024-11-20 23:00:00,Equipment Collision,Low,false,false,Operator error
SAFE00064,WA001,2024-10-21 23:00:00,Hazard Reported,High,false,false,Procedure not followed
SAFE00065,NSW001,2024-12-24 10:00:00,Safety Inspection,Low,false,false,Communication breakdown
SAFE00066,QLD001,2024-04-29 22:00:00,Equipment Collision,Low,false,false,Operator error
SAFE00067,NSW001,2024-09-25 13:00:00,Incident - First Aid,high,false,false,Procedure not followed
SAFE00068,WA001,2024-04-23 23:00:00,Hazard Reported,high,false,false,Communication breakdown
SAFE00069,QLD001,2024-10-13 18:00:00,safety inspection,Medium,false,false,Operator error
SAFE00070,NSW001,2024-03-07 22:00:00,Fall from Height,Medium,false,false,Environmental conditions
SAFE00071,QLD001,2024-02-10 06:00:00,NEAR MISS,MEDIUM,false,false,Inadequate training
SAFE00072,WA001,2024-06-26 17:00:00,Incident - Minor Injury,LOW,false,false,Equipment malfunction
SAFE00073,QLD001,2024-09-19 10:00:00,Hazard Reported,LOW,false,false,Environmental conditions
SAFE00074,NSW001,2024-11-16 07:00:00,Safety Inspection,Medium,false,false,Equipment malfunction
SAFE00075,NSW001,2024-01-24 22:00:00,Confined Space Entry,low,false,false,Inadequate training
SAFE00076,WA001,2024-03-28 10:00:00,Incident - First Aid,Low,false,false,Environmental conditions
SAFE00077,NSW001,2024-04-16 08:00:00,equipment collision,MEDIUM,false,false,Communication breakdown
SAFE00078,WA001,2024-09-22 17:00:00,equipment collision,HIGH,false,false,Equipment malfunction
SAFE00079,NSW001,2024-09-26 05:00:00,Safety Inspection,Medium,false,false,Operator error
SAFE00080,QLD001,2024-09-15 03:00:00,Near Miss,LOW,false,true,Procedure not followed
SAFE00081,WA001,2024-03-04 05:00:00,EQUIPMENT COLLISION,Medium,false,false,Procedure not followed
SAFE00082,NSW001,2024-03-29 21:00:00,Incident - Minor Injury,HIGH,false,false,Equipment malfunction
SAFE00083,WA001,2024-09-21 14:00:00,Equipment Collision,Medium,false,false,Environmental conditions
SAFE00084,WA001,2024-04-09 16:00:00,Confined Space Entry,HIGH,false,false,Procedure not followed
SAFE00085,WA001,2024-12-24 12:00:00,incident - first aid,high,false,false,Equipment malfunction
SAFE00086,WA001,2024-04-04 00:00:00,Fall from Height,MEDIUM,false,false,Operator error
SAFE00087,WA001,2024-01-22 20:00:00,hazard reported,Medium,false,false,Environmental conditions
SAFE00088,WA001,2024-04-03 18:00:00,Equipment Collision,LOW,false,false,Equipment malfunction
SAFE00089,WA001,2024-03-05 08:00:00,near miss,Medium,false,false,Procedure not followed
SAFE00090,NSW001,2024-08-07 00:00:00,Hazard Reported,Low,false,false,Communication breakdown
SAFE00091,NSW001,2024-06-27 14:00:00,Near Miss,MEDIUM,false,true,Procedure not followed
SAFE00092,QLD001,2024-09-19 18:00:00,Confined Space Entry,LOW,false,false,Environmental conditions
SAFE00093,WA001,2024-10-22 07:00:00,NEAR MISS,LOW,false,false,Procedure not followed
SAFE00094,NSW001,2024-10-08 13:00:00,Fall from Height,LOW,false,false,Inadequate training
SAFE00095,QLD001,2024-06-23 11:00:00,fall from height,high,false,false,Environmental conditions
SAFE00096,QLD001,2024-11-08 03:00:00,Incident - Minor Injury,HIGH,false,false,Equipment malfunction
SAFE00097,WA001,2024-10-02 04:00:00,incident - minor injury,low,false,false,Procedure not followed
SAFE00098,QLD001,2024-04-23 23:00:00,Hazard Reported,MEDIUM,false,false,Inadequate training
SAFE00099,QLD001,2024-11-19 04:00:00,Near Miss,Medium,false,true,Equipment malfunction
SAFE00100,NSW001,2024-06-06 19:00:00,safety inspection,HIGH,false,false,Communication breakdown
SAFE00101,WA001,2024-04-16 21:00:00,safety inspection,low,false,false,Operator error
SAFE00102,NSW001,2024-05-30 23:00:00,CONFINED SPACE ENTRY,Medium,false,false,Communication breakdown
SAFE00103,WA001,2024-12-08 00:00:00,Near Miss,LOW,false,true,Communication breakdown
SAFE00104,NSW001,2024-01-07 10:00:00,confined space entry,low,false,false,Operator error
SAFE00105,NSW001,2024-04-22 14:00:00,equipment collision,Medium,false,false,Equipment malfunction
SAFE00106,QLD001,2024-09-23 05:00:00,Confined Space Entry,HIGH,false,false,Procedure not followed
SAFE00107,NSW001,2024-05-24 13:00:00,hazard reported,low,false,false,Environmental conditions
SAFE00108,WA001,2024-04-15 06:00:00,near miss,High,false,false,Communication breakdown
SAFE00109,QLD001,2024-04-14 14:00:00,hazard reported,Low,false,false,Inadequate training
SAFE00110,NSW001,2024-06-18 10:00:00,safety inspection,MEDIUM,false,false,Environmental conditions
SAFE00111,NSW001,2024-12-07 00:00:00,Near Miss,Medium,false,true,Equipment malfunction
SAFE00112,WA001,2024-04-08 21:00:00,near miss,Low,false,false,Procedure not followed
SAFE00113,QLD001,2024-05-01 01:00:00,Confined Space Entry,MEDIUM,false,false,Environmental conditions
SAFE00114,NSW001,2024-08-16 11:00:00,Safety Inspection,high,false,false,Environmental conditions
SAFE00115,QLD001,2024-02-29 22:00:00,Confined Space Entry,high,false,false,Procedure not followed
SAFE00116,WA001,2024-08-24 03:00:00,HAZARD REPORTED,Medium,false,false,Operator error
SAFE00117,NSW001,2024-08-27 04:00:00,Hazard Reported,LOW,false,false,Procedure not followed
SAFE00118,WA001,2024-09-18 11:00:00,Incident - First Aid,low,false,false,Equipment malfunction
SAFE00119,QLD001,2024-07-20 22:00:00,incident - first aid,MEDIUM,false,false,Operator error
SAFE00120,QLD001,2024-11-09 11:00:00,Equipment Collision,Medium,false,false,Operator error
SAFE00121,NSW001,2024-03-30 22:00:00,fall from height,low,false,false,Operator error
SAFE00122,QLD001,2024-07-23 04:00:00,Equipment Collision,HIGH,false,false,Equipment malfunction
SAFE00123,QLD001,2024-01-07 12:00:00,Equipment Collision,high,false,false,Communication breakdown
SAFE00124,NSW001,2024-02-22 04:00:00,incident - first aid,Low,false,false,Communication breakdown
SAFE00125,QLD001,2024-04-22 18:00:00,Equipment Collision,HIGH,false,false,Communication breakdown
SAFE00126,QLD001,2024-04-02 18:00:00,Near Miss,HIGH,false,true,Operator error
SAFE00127,QLD001,2024-12-25 15:00:00,Fall from Height,HIGH,false,false,Inadequate training
SAFE00128,NSW001,2024-08-12 19:00:00,Near Miss,Medium,false,true,Equipment malfunction
SAFE00129,WA001,2024-02-06 19:00:00,near miss,Medium,false,false,Procedure not followed
SAFE00130,NSW001,2024-02-10 15:00:00,Fall from Height,Low,false,false,Operator error
SAFE00131,NSW001,2024-12-29 00:00:00,Near Miss,Low,false,true,Equipment malfunction
SAFE00132,WA001,2024-06-12 00:00:00,Incident - First Aid,MEDIUM,false,false,Operator error
SAFE00133,WA001,2024-07-17 00:00:00,Equipment Collision,MEDIUM,false,false,Inadequate training
SAFE00134,NSW001,2024-02-08 22:00:00,Incident - Minor Injury,LOW,false,false,Procedure not followed
SAFE00135,NSW001,2024-03-15 17:00:00,Hazard Reported,MEDIUM,false,false,Inadequate training
SAFE00136,WA001,2024-03-29 10:00:00,Fall from Height,HIGH,false,false,Operator error
SAFE00137,NSW001,2024-04-19 15:00:00,INCIDENT - MINOR INJURY,LOW,false,false,Communication breakdown
SAFE00138,WA001,2024-08-06 12:00:00,Fall from Height,Low,false,false,Operator error
SAFE00139,WA001,2024-12-26 04:00:00,incident - first aid,HIGH,false,false,Inadequate training
SAFE00140,QLD001,2024-05-21 06:00:00,near miss,LOW,false,false,Operator error
SAFE00141,QLD001,2024-04-14 11:00:00,fall from height,Low,false,false,Operator error
SAFE00142,WA001,2024-04-30 04:00:00,Safety Inspection,High,false,false,Inadequate training
SAFE00143,WA001,2024-02-27 08:00:00,incident - minor injury,low,false,false,Equipment malfunction
SAFE00144,QLD001,2024-10-12 07:00:00,INCIDENT - MINOR INJURY,Medium,false,false,Equipment malfunction
SAFE00145,NSW001,2024-10-28 16:00:00,incident - first aid,low,false,false,Procedure not followed
SAFE00146,WA001,2024-12-22 12:00:00,Incident - Minor Injury,LOW,false,false,Equipment malfunction
SAFE00147,NSW001,2024-10-06 16:00:00,confined space entry,low,false,false,Operator error
SAFE00148,WA001,2024-09-26 00:00:00,Equipment Collision,Medium,false,false,Inadequate training
SAFE00149,NSW001,2024-04-21 13:00:00,NEAR MISS,High,false,false,Communication breakdown
SAFE00150,WA001,2024-12-30 22:00:00,Confined Space Entry,LOW,false,false,Inadequate training
SAFE00151,QLD001,2024-03-30 09:00:00,Fall from Height,Medium,false,false,Environmental conditions
SAFE00152,WA001,2024-10-10 09:00:00,EQUIPMENT COLLISION,LOW,false,false,Communication breakdown
SAFE00153,NSW001,2024-12-12 01:00:00,Near Miss,LOW,false,true,Inadequate training
SAFE00154,WA001,2024-03-04 01:00:00,incident - first aid,Medium,false,false,Environmental conditions
SAFE00155,NSW001,2024-04-04 00:00:00,near miss,low,false,false,Inadequate training
SAFE00156,QLD001,2024-01-26 17:00:00,Equipment Collision,LOW,false,false,Environmental conditions
SAFE00157,NSW001,2024-09-12 16:00:00,incident - first aid,high,true,false,Operator error
SAFE00158,WA001,2024-09-15 16:00:00,Fall from Height,HIGH,false,false,Procedure not followed
SAFE00159,NSW001,2024-03-02 14:00:00,Incident - Minor Injury,low,false,false,Operator error
SAFE00160,QLD001,2024-11-23 16:00:00,fall from height,high,false,false,Operator error
SAFE00161,QLD001,2024-08-06 20:00:00,Incident - Minor Injury,high,false,false,Inadequate training
SAFE00162,NSW001,2024-11-16 21:00:00,Incident - First Aid,Medium,false,false,Equipment malfunction
SAFE00163,NSW001,2024-01-04 05:00:00,EQUIPMENT COLLISION,low,false,false,Equipment malfunction
SAFE00164,QLD001,2024-05-26 18:00:00,safety inspection,HIGH,false,false,Inadequate training
SAFE00165,QLD001,2024-05-19 16:00:00,Confined Space Entry,Low,false,false,Equipment malfunction
SAFE00166,NSW001,2024-02-11 16:00:00,fall from height,High,false,false,Procedure not followed
SAFE00167,QLD001,2024-09-13 10:00:00,Near Miss,High,false,true,Operator error
SAFE00168,QLD001,2024-01-11 01:00:00,FALL FROM HEIGHT,Low,true,false,Equipment malfunction
SAFE00169,WA001,2024-02-08 01:00:00,Fall from Height,High,false,false,Procedure not followed
SAFE00170,WA001,2024-06-20 17:00:00,Hazard Reported,LOW,false,false,Equipment malfunction
SAFE00171,NSW001,2024-12-25 01:00:00,Incident - Minor Injury,low,false,false,Communication breakdown
SAFE00172,NSW001,2024-05-16 10:00:00,equipment collision,Medium,false,false,Environmental conditions
SAFE00173,QLD001,2024-06-15 21:00:00,Equipment Collision,Low,false,false,Operator error
SAFE00174,QLD001,2024-07-27 02:00:00,Incident - First Aid,Low,false,false,Environmental conditions
SAFE00175,NSW001,2024-01-15 06:00:00,Hazard Reported,low,false,false,Operator error
SAFE00176,NSW001,2024-06-05 15:00:00,safety inspection,Medium,false,false,Equipment malfunction
SAFE00177,WA001,2024-04-02 08:00:00,Incident - Minor Injury,high,false,false,Communication breakdown
SAFE00178,NSW001,2024-08-15 18:00:00,fall from height,LOW,false,false,Inadequate training
SAFE00179,WA001,2024-05-11 14:00:00,Incident - First Aid,high,false,false,Environmental conditions
SAFE00180,NSW001,2024-11-24 23:00:00,safety inspection,High,false,false,Equipment malfunction
SAFE00181,WA001,2024-01-17 11:00:00,Near Miss,MEDIUM,false,true,Equipment malfunction
SAFE00182,NSW001,2024-04-10 04:00:00,Near Miss,LOW,false,true,Communication breakdown
SAFE00183,QLD001,2024-06-07 13:00:00,incident - first aid,high,false,false,Operator error
SAFE00184,WA001,2024-02-12 17:00:00,Confined Space Entry,Medium,false,false,Environmental conditions
SAFE00185,NSW001,2024-09-16 00:00:00,Incident - First Aid,low,false,false,Procedure not followed
SAFE00186,NSW001,2024-07-12 13:00:00,Safety Inspection,high,false,false,Operator error
SAFE00187,WA001,2024-08-12 12:00:00,incident - minor injury,low,false,false,Environmental conditions
SAFE00188,NSW001,2024-05-11 10:00:00,Near Miss,low,false,true,Communication breakdown
SAFE00189,WA001,2024-08-06 14:00:00,Incident - Minor Injury,HIGH,false,false,Communication breakdown
SAFE00190,NSW001,2024-10-12 16:00:00,hazard reported,High,false,false,Procedure not followed
SAFE00191,WA001,2024-09-01 09:00:00,Equipment Collision,high,false,false,Environmental conditions
SAFE00192,QLD001,2024-08-24 04:00:00,near miss,MEDIUM,false,false,Communication breakdown
SAFE00193,WA001,2024-04-25 21:00:00,Hazard Reported,MEDIUM,false,false,Operator error
SAFE00194,WA001,2024-01-19 01:00:00,Fall from Height,high,false,false,Communication breakdown
SAFE00195,QLD001,2024-11-18 06:00:00,HAZARD REPORTED,LOW,false,false,Operator error
SAFE00196,QLD001,2024-06-17 08:00:00,Safety Inspection,Low,false,false,Procedure not followed
SAFE00197,QLD001,2024-03-22 14:00:00,equipment collision,HIGH,false,false,Communication breakdown
SAFE00198,QLD001,2024-11-28 06:00:00,confined space entry,HIGH,false,false,Inadequate training
SAFE00199,WA001,2024-07-30 08:00:00,Near Miss,low,false,true,Operator error
SAFE00200,QLD001,2024-05-31 11:00:00,equipment collision,HIGH,false,false,Procedure not followed
SAFE00201,WA001,2024-02-12 11:00:00,confined space entry,Medium,false,false,Equipment malfunction
SAFE00202,WA001,2024-11-30 05:00:00,Confined Space Entry,High,false,false,Operator error
SAFE00203,QLD001,2024-03-18 11:00:00,EQUIPMENT COLLISION,MEDIUM,false,false,Equipment malfunction
SAFE00204,QLD001,2024-03-20 10:00:00,EQUIPMENT COLLISION,high,false,false,Procedure not followed
SAFE00205,NSW001,2024-08-02 10:00:00,Hazard Reported,Medium,false,false,Communication breakdown
SAFE00206,WA001,2024-08-08 00:00:00,Near Miss,High,false,true,Environmental conditions
SAFE00207,WA001,2024-12-24 08:00:00,Hazard Reported,MEDIUM,false,false,Communication breakdown
SAFE00208,NSW001,2024-08-03 11:00:00,Hazard Reported,MEDIUM,false,false,Environmental conditions
SAFE00209,WA001,2024-07-17 10:00:00,EQUIPMENT COLLISION,Low,false,false,Inadequate training
SAFE00210,NSW001,2024-04-07 19:00:00,safety inspection,LOW,false,false,Environmental conditions
SAFE00211,NSW001,2024-03-28 14:00:00,incident - first aid,HIGH,false,false,Inadequate training
SAFE00212,WA001,2024-04-11 05:00:00,confined space entry,HIGH,false,false,Operator error
SAFE00213,NSW001,2024-12-20 14:00:00,Equipment Collision,MEDIUM,false,false,Procedure not followed
SAFE00214,QLD001,2024-03-25 13:00:00,incident - first aid,low,false,false,Equipment malfunction
SAFE00215,WA001,2024-10-28 15:00:00,Near Miss,High,false,true,Equipment malfunction
SAFE00216,QLD001,2024-04-04 00:00:00,safety inspection,HIGH,false,false,Procedure not followed
SAFE00217,QLD001,2024-08-07 11:00:00,Fall from Height,LOW,false,false,Communication breakdown
SAFE00218,QLD001,2024-05-16 06:00:00,Fall from Height,high,false,false,Environmental conditions
SAFE00219,NSW001,2024-07-12 02:00:00,confined space entry,High,false,false,Inadequate training
SAFE00220,WA001,2024-06-24 14:00:00,fall from height,High,false,false,Operator error
SAFE00221,QLD001,2024-09-27 17:00:00,Near Miss,Low,false,true,Procedure not followed
SAFE00222,NSW001,2024-10-17 03:00:00,FALL FROM HEIGHT,MEDIUM,false,false,Inadequate training
SAFE00223,WA001,2024-06-13 03:00:00,Near Miss,High,false,true,Environmental conditions
SAFE00224,QLD001,2024-12-13 08:00:00,Safety Inspection,HIGH,false,false,Communication breakdown
SAFE00225,NSW001,2024-09-27 10:00:00,Equipment Collision,High,false,false,Environmental conditions
SAFE00226,QLD001,2024-01-19 03:00:00,Safety Inspection,high,false,false,Environmental conditions
SAFE00227,NSW001,2024-07-21 00:00:00,fall from height,HIGH,false,false,Inadequate training
SAFE00228,WA001,2024-10-17 14:00:00,Fall from Height,HIGH,false,false,Operator error
SAFE00229,WA001,2024-03-25 22:00:00,Fall from Height,High,false,false,Operator error
SAFE00230,WA001,2024-02-08 13:00:00,Hazard Reported,Medium,false,false,Equipment malfunction
SAFE00231,NSW001,2024-12-17 11:00:00,Fall from Height,Medium,false,false,Environmental conditions
SAFE00232,NSW001,2024-11-21 10:00:00,Incident - Minor Injury,high,false,false,Inadequate training
SAFE00233,WA001,2024-07-14 08:00:00,Incident - Minor Injury,LOW,false,false,Inadequate training
SAFE00234,WA001,2024-05-27 10:00:00,safety inspection,MEDIUM,false,false,Communication breakdown
SAFE00235,WA001,2024-04-22 15:00:00,safety inspection,Low,false,false,Procedure not followed
SAFE00236,NSW001,2024-08-02 09:00:00,Incident - First Aid,high,false,false,Inadequate training
SAFE00237,WA001,2024-10-16 01:00:00,Safety Inspection,High,false,false,Communication breakdown
SAFE00238,QLD001,2024-04-17 09:00:00,Safety Inspection,Low,false,false,Procedure not followed
SAFE00239,NSW001,2024-02-10 08:00:00,Fall from Height,HIGH,false,false,Communication breakdown
SAFE00240,QLD001,2024-08-27 10:00:00,Fall from Height,low,false,false,Inadequate training
SAFE00241,QLD001,2024-11-14 11:00:00,Hazard Reported,high,false,false,Operator error
SAFE00242,QLD001,2024-01-07 06:00:00,Incident - First Aid,Low,true,false,Equipment malfunction
SAFE00243,QLD001,2024-08-11 20:00:00,Near Miss,Low,false,true,Communication breakdown
SAFE00244,WA001,2024-03-31 14:00:00,Incident - First Aid,Medium,false,false,Environmental conditions
SAFE00245,WA001,2024-05-25 08:00:00,Fall from Height,low,false,false,Equipment malfunction
SAFE00246,WA001,2024-02-02 15:00:00,Incident - First Aid,LOW,false,false,Inadequate training
SAFE00247,QLD001,2024-06-16 12:00:00,Hazard Reported,MEDIUM,true,false,Equipment malfunction
SAFE00248,WA001,2024-10-22 00:00:00,incident - minor injury,low,false,false,Equipment malfunction
SAFE00249,NSW001,2024-04-21 17:00:00,Hazard Reported,MEDIUM,false,false,Communication breakdown
SAFE00250,WA001,2024-06-07 17:00:00,Fall from Height,high,false,false,Communication breakdown
SAFE00251,WA001,2024-10-03 20:00:00,incident - first aid,Medium,false,false,Inadequate training
SAFE00252,QLD001,2024-12-24 14:00:00,near miss,High,false,false,Communication breakdown
SAFE00253,NSW001,2024-10-02 22:00:00,Near Miss,HIGH,false,true,Communication breakdown
SAFE00254,WA001,2024-09-08 09:00:00,incident - first aid,LOW,false,false,Procedure not followed
SAFE00255,QLD001,2024-09-21 20:00:00,hazard reported,Low,false,false,Inadequate training
SAFE00256,NSW001,2024-11-09 21:00:00,Equipment Collision,high,false,false,Operator error
SAFE00257,NSW001,2024-07-20 08:00:00,equipment collision,LOW,false,false,Communication breakdown
SAFE00258,QLD001,2024-03-05 04:00:00,Confined Space Entry,High,false,false,Environmental conditions
SAFE00259,WA001,2024-06-11 08:00:00,Incident - First Aid,low,false,false,Equipment malfunction
SAFE00260,WA001,2024-10-12 22:00:00,Confined Space Entry,LOW,false,false,Equipment malfunction
SAFE00261,QLD001,2024-01-10 10:00:00,hazard reported,HIGH,false,false,Operator error
SAFE00262,QLD001,2024-02-19 12:00:00,CONFINED SPACE ENTRY,low,false,false,Communication breakdown
SAFE00263,NSW001,2024-10-05 07:00:00,Hazard Reported,low,false,false,Inadequate training
SAFE00264,NSW001,2024-08-28 06:00:00,Equipment Collision,high,false,false,Procedure not followed
SAFE00265,NSW001,2024-06-30 08:00:00,Hazard Reported,MEDIUM,false,false,Operator error
SAFE00266,NSW001,2024-04-02 03:00:00,safety inspection,low,false,false,Inadequate training
SAFE00267,NSW001,2024-10-03 01:00:00,Incident - First Aid,high,false,false,Equipment malfunction
SAFE00268,QLD001,2024-01-17 13:00:00,near miss,high,false,false,Equipment malfunction
SAFE00269,QLD001,2024-10-30 06:00:00,confined space entry,low,false,false,Inadequate training
SAFE00270,QLD001,2024-08-03 13:00:00,Incident - Minor Injury,HIGH,false,false,Operator error
SAFE00271,NSW001,2024-04-14 16:00:00,Confined Space Entry,Low,false,false,Communication breakdown
SAFE00272,QLD001,2024-04-27 12:00:00,Confined Space Entry,high,false,false,Procedure not followed
SAFE00273,NSW001,2024-05-28 15:00:00,near miss,low,false,false,Operator error
SAFE00274,WA001,2024-01-20 11:00:00,incident - minor injury,High,false,false,Equipment malfunction
SAFE00275,QLD001,2024-09-11 08:00:00,INCIDENT - FIRST AID,low,false,false,Equipment malfunction
SAFE00276,WA001,2024-05-31 01:00:00,incident - minor injury,Low,false,false,Operator error
SAFE00277,WA001,2024-11-19 12:00:00,hazard reported,HIGH,false,false,Environmental conditions
SAFE00278,QLD001,2024-04-10 01:00:00,Incident - Minor Injury,LOW,false,false,Inadequate training
SAFE00279,WA001,2024-01-20 13:00:00,Incident - Minor Injury,High,false,false,Inadequate training
SAFE00280,NSW001,2024-05-31 00:00:00,Confined Space Entry,Medium,false,false,Inadequate training
SAFE00281,QLD001,2024-03-07 11:00:00,Equipment Collision,low,false,false,Communication breakdown
SAFE00282,NSW001,2024-09-29 03:00:00,Incident - Minor Injury,MEDIUM,false,false,Environmental conditions
SAFE00283,WA001,2024-07-11 09:00:00,HAZARD REPORTED,Medium,false,false,Procedure not followed
SAFE00284,NSW001,2024-01-31 02:00:00,near miss,MEDIUM,false,false,Operator error
SAFE00285,NSW001,2024-12-18 05:00:00,Fall from Height,MEDIUM,false,false,Inadequate training
SAFE00286,WA001,2024-06-21 12:00:00,confined space entry,MEDIUM,false,false,Environmental conditions
SAFE00287,WA001,2024-06-25 18:00:00,Equipment Collision,Low,false,false,Communication breakdown
SAFE00288,QLD001,2024-02-26 06:00:00,Incident - First Aid,High,false,false,Inadequate training
SAFE00289,WA001,2024-07-18 00:00:00,Hazard Reported,Medium,false,false,Equipment malfunction
SAFE00290,WA001,2024-09-25 08:00:00,Fall from Height,MEDIUM,false,false,Procedure not followed
SAFE00291,WA001,2024-08-18 06:00:00,INCIDENT - MINOR INJURY,MEDIUM,false,false,Procedure not followed
SAFE00292,QLD001,2024-04-14 15:00:00,Incident - First Aid,LOW,false,false,Operator error
SAFE00293,NSW001,2024-10-22 15:00:00,Incident - Minor Injury,high,false,false,Equipment malfunction
